Date,Description,Amount
05/01/2026,WELLS FARGO MORTGAGE,-2100.00
05/02/2026,KROGER #4521,-128.45
05/02/2026,SHELL OIL 123456,-58.00
05/03/2026,STARBUCKS STORE 09421,-7.85
05/03/2026,NETFLIX.COM,-15.49
05/04/2026,XFINITY COMMUNICATIONS,-67.50
05/05/2026,KROGER #4521,-92.18
05/06/2026,PELOTON INTERACTIVE,-45.00
05/07/2026,DUKE ENERGY,-185.00
05/07/2026,CHIPOTLE 1234,-22.50
05/08/2026,SHELL OIL 789012,-62.00
05/09/2026,DOORDASH*MCDONALDS,-18.75
05/10/2026,VERIZON WIRELESS,-95.00
05/11/2026,AMAZON.COM*4F2GH,-87.32
05/12/2026,TRADER JOE'S #123,-78.90
05/13/2026,ANTHROPIC PBC CLAUDE,-50.00
05/14/2026,GEICO AUTO INSURANCE,-145.00
05/15/2026,APPLE.COM/BILL,-9.99
05/16/2026,XBOX LIVE GOLD,-30.00
05/17/2026,WALMART NEIGHBORHOOD,-156.78
05/18/2026,DOORDASH*PIZZA HUT,-32.40
05/19/2026,SHELL OIL 555555,-55.00
05/20/2026,COUNTRY CLUB DUES,-80.00
05/21/2026,CVS PHARMACY,-22.50
05/22/2026,HONDA FINANCIAL SVC,-605.00
05/23/2026,CHIPOTLE 5678,-19.50
05/24/2026,KROGER #4521,-104.20
05/25/2026,STARBUCKS STORE 09421,-6.75
05/26/2026,UBER EATS,-28.90
05/27/2026,HOME DEPOT #1234,-145.67
05/28/2026,WSJ.COM*WSJ,-8.00
05/29/2026,NORDSTROM.COM,-198.00
05/30/2026,VET HOSPITAL OF DENVER,-85.00
05/31/2026,DOORDASH*CHIPOTLE,-26.45
